INTERVALSTARTTIME_GMT,INTERVALENDTIME_GMT,OPR_DT,OPR_HR,NODE_ID_XML,NODE_ID,NODE,MARKET_RUN_ID,LMP_TYPE,XML_DATA_ITEM,PNODE_RESMRID,GRP_TYPE,POS,PRC,OPR_INTERVAL,GROUP
2022-09-01T07:00:00-00:00,2022-09-01T07:15:00-00:00,2022-09-01,01,USWP-FRK_6_N001,USWP-FRK_6_N001,USWP-FRK_6_N001,RTPD,LMP,LMP_PRC,USWP-FRK_6_N001,ALL,1,81.05589,1,1
2022-09-01T08:00:00-00:00,2022-09-01T08:15:00-00:00,2022-09-01,02,USWP-FRK_6_N001,USWP-FRK_6_N001,USWP-FRK_6_N001,RTPD,LMP,LMP_PRC,USWP-FRK_6_N001,ALL,1,112.18106,1,1
2022-09-01T09:00:00-00:00,2022-09-01T09:15:00-00:00,2022-09-01,03,USWP-FRK_6_N001,USWP-FRK_6_N001,USWP-FRK_6_N001,RTPD,LMP,LMP_PRC,USWP-FRK_6_N001,ALL,1,94.46026,1,1
2022-09-01T10:00:00-00:00,2022-09-01T10:15:00-00:00,2022-09-01,04,USWP-FRK_6_N001,USWP-FRK_6_N001,USWP-FRK_6_N001,RTPD,LMP,LMP_PRC,USWP-FRK_6_N001,ALL,1,94.50402,1,1
2022-09-01T11:00:00-00:00,2022-09-01T11:15:00-00:00,2022-09-01,05,USWP-FRK_6_N001,USWP-FRK_6_N001,USWP-FRK_6_N001,RTPD,LMP,LMP_PRC,USWP-FRK_6_N001,ALL,1,102.68141,1,1
2022-09-01T12:00:00-00:00,2022-09-01T12:15:00-00:00,2022-09-01,06,USWP-FRK_6_N001,USWP-FRK_6_N001,USWP-FRK_6_N001,RTPD,LMP,LMP_PRC,USWP-FRK_6_N001,ALL,1,86.75881,1,1
2022-09-01T13:00:00-00:00,2022-09-01T13:15:00-00:00,2022-09-01,07,USWP-FRK_6_N001,USWP-FRK_6_N001,USWP-FRK_6_N001,RTPD,LMP,LMP_PRC,USWP-FRK_6_N001,ALL,1,88.51436,1,1
2022-09-01T14:00:00-00:00,2022-09-01T14:15:00-00:00,2022-09-01,08,USWP-FRK_6_N001,USWP-FRK_6_N001,USWP-FRK_6_N001,RTPD,LMP,LMP_PRC,USWP-FRK_6_N001,ALL,1,113.77888,1,1
2022-09-01T15:00:00-00:00,2022-09-01T15:15:00-00:00,2022-09-01,09,USWP-FRK_6_N001,USWP-FRK_6_N001,USWP-FRK_6_N001,RTPD,LMP,LMP_PRC,USWP-FRK_6_N001,ALL,1,97.4112,1,1
2022-09-01T16:00:00-00:00,2022-09-01T16:15:00-00:00,2022-09-01,10,USWP-FRK_6_N001,USWP-FRK_6_N001,USWP-FRK_6_N001,RTPD,LMP,LMP_PRC,USWP-FRK_6_N001,ALL,1,83.43525,1,1
2022-09-01T17:00:00-00:00,2022-09-01T17:15:00-00:00,2022-09-01,11,USWP-FRK_6_N001,USWP-FRK_6_N001,USWP-FRK_6_N001,RTPD,LMP,LMP_PRC,USWP-FRK_6_N001,ALL,1,80.21869,1,1
2022-09-01T18:00:00-00:00,2022-09-01T18:15:00-00:00,2022-09-01,12,USWP-FRK_6_N001,USWP-FRK_6_N001,USWP-FRK_6_N001,RTPD,LMP,LMP_PRC,USWP-FRK_6_N001,ALL,1,58.93946,1,1
2022-09-01T19:00:00-00:00,2022-09-01T19:15:00-00:00,2022-09-01,13,USWP-FRK_6_N001,USWP-FRK_6_N001,USWP-FRK_6_N001,RTPD,LMP,LMP_PRC,USWP-FRK_6_N001,ALL,1,73.15312,1,1
