INTERVALSTARTTIME_GMT,INTERVALENDTIME_GMT,OPR_DT,OPR_HR,NODE_ID_XML,NODE_ID,NODE,MARKET_RUN_ID,LMP_TYPE,XML_DATA_ITEM,PNODE_RESMRID,GRP_TYPE,POS,PRC,OPR_INTERVAL,GROUP
2022-09-01T07:00:00-00:00,2022-09-01T07:15:00-00:00,2022-09-01,01,MTEDEN_1_N009,MTEDEN_1_N009,MTEDEN_1_N009,RTPD,LMP,LMP_PRC,MTEDEN_1_N009,ALL,1,81.416,1,1
2022-09-01T08:00:00-00:00,2022-09-01T08:15:00-00:00,2022-09-01,02,MTEDEN_1_N009,MTEDEN_1_N009,MTEDEN_1_N009,RTPD,LMP,LMP_PRC,MTEDEN_1_N009,ALL,1,112.1735,1,1
2022-09-01T09:00:00-00:00,2022-09-01T09:15:00-00:00,2022-09-01,03,MTEDEN_1_N009,MTEDEN_1_N009,MTEDEN_1_N009,RTPD,LMP,LMP_PRC,MTEDEN_1_N009,ALL,1,95.46738,1,1
2022-09-01T10:00:00-00:00,2022-09-01T10:15:00-00:00,2022-09-01,04,MTEDEN_1_N009,MTEDEN_1_N009,MTEDEN_1_N009,RTPD,LMP,LMP_PRC,MTEDEN_1_N009,ALL,1,95.22513,1,1
2022-09-01T11:00:00-00:00,2022-09-01T11:15:00-00:00,2022-09-01,05,MTEDEN_1_N009,MTEDEN_1_N009,MTEDEN_1_N009,RTPD,LMP,LMP_PRC,MTEDEN_1_N009,ALL,1,103.1122,1,1
2022-09-01T12:00:00-00:00,2022-09-01T12:15:00-00:00,2022-09-01,06,MTEDEN_1_N009,MTEDEN_1_N009,MTEDEN_1_N009,RTPD,LMP,LMP_PRC,MTEDEN_1_N009,ALL,1,87.03065,1,1
2022-09-01T13:00:00-00:00,2022-09-01T13:15:00-00:00,2022-09-01,07,MTEDEN_1_N009,MTEDEN_1_N009,MTEDEN_1_N009,RTPD,LMP,LMP_PRC,MTEDEN_1_N009,ALL,1,88.45254,1,1
2022-09-01T14:00:00-00:00,2022-09-01T14:15:00-00:00,2022-09-01,08,MTEDEN_1_N009,MTEDEN_1_N009,MTEDEN_1_N009,RTPD,LMP,LMP_PRC,MTEDEN_1_N009,ALL,1,114.07888,1,1
2022-09-01T15:00:00-00:00,2022-09-01T15:15:00-00:00,2022-09-01,09,MTEDEN_1_N009,MTEDEN_1_N009,MTEDEN_1_N009,RTPD,LMP,LMP_PRC,MTEDEN_1_N009,ALL,1,97.4112,1,1
2022-09-01T16:00:00-00:00,2022-09-01T16:15:00-00:00,2022-09-01,10,MTEDEN_1_N009,MTEDEN_1_N009,MTEDEN_1_N009,RTPD,LMP,LMP_PRC,MTEDEN_1_N009,ALL,1,83.43525,1,1
2022-09-01T17:00:00-00:00,2022-09-01T17:15:00-00:00,2022-09-01,11,MTEDEN_1_N009,MTEDEN_1_N009,MTEDEN_1_N009,RTPD,LMP,LMP_PRC,MTEDEN_1_N009,ALL,1,80.12776,1,1
2022-09-01T18:00:00-00:00,2022-09-01T18:15:00-00:00,2022-09-01,12,MTEDEN_1_N009,MTEDEN_1_N009,MTEDEN_1_N009,RTPD,LMP,LMP_PRC,MTEDEN_1_N009,ALL,1,58.76669,1,1
2022-09-01T19:00:00-00:00,2022-09-01T19:15:00-00:00,2022-09-01,13,MTEDEN_1_N009,MTEDEN_1_N009,MTEDEN_1_N009,RTPD,LMP,LMP_PRC,MTEDEN_1_N009,ALL,1,72.96441,1,1
2022-09-01T20:00:00-00:00,2022-09-01T20:15:00-00:00,2022-09-01,14,MTEDEN_1_N009,MTEDEN_1_N009,MTEDEN_1_N009,RTPD,LMP,LMP_PRC,MTEDEN_1_N009,ALL,1,114.38133,1,1
