INTERVALSTARTTIME_GMT,INTERVALENDTIME_GMT,OPR_DT,OPR_HR,NODE_ID_XML,NODE_ID,NODE,MARKET_RUN_ID,LMP_TYPE,XML_DATA_ITEM,PNODE_RESMRID,GRP_TYPE,POS,PRC,OPR_INTERVAL,GROUP
2022-09-01T07:00:00-00:00,2022-09-01T07:15:00-00:00,2022-09-01,01,SAUGUS_6_N008,SAUGUS_6_N008,SAUGUS_6_N008,RTPD,LMP,LMP_PRC,SAUGUS_6_N008,ALL,1,150.07996,1,1
2022-09-01T08:00:00-00:00,2022-09-01T08:15:00-00:00,2022-09-01,02,SAUGUS_6_N008,SAUGUS_6_N008,SAUGUS_6_N008,RTPD,LMP,LMP_PRC,SAUGUS_6_N008,ALL,1,118.80082,1,1
2022-09-01T09:00:00-00:00,2022-09-01T09:15:00-00:00,2022-09-01,03,SAUGUS_6_N008,SAUGUS_6_N008,SAUGUS_6_N008,RTPD,LMP,LMP_PRC,SAUGUS_6_N008,ALL,1,112.13638,1,1
2022-09-01T10:00:00-00:00,2022-09-01T10:15:00-00:00,2022-09-01,04,SAUGUS_6_N008,SAUGUS_6_N008,SAUGUS_6_N008,RTPD,LMP,LMP_PRC,SAUGUS_6_N008,ALL,1,110.48154,1,1
2022-09-01T11:00:00-00:00,2022-09-01T11:15:00-00:00,2022-09-01,05,SAUGUS_6_N008,SAUGUS_6_N008,SAUGUS_6_N008,RTPD,LMP,LMP_PRC,SAUGUS_6_N008,ALL,1,110.71253,1,1
2022-09-01T12:00:00-00:00,2022-09-01T12:15:00-00:00,2022-09-01,06,SAUGUS_6_N008,SAUGUS_6_N008,SAUGUS_6_N008,RTPD,LMP,LMP_PRC,SAUGUS_6_N008,ALL,1,114.46191,1,1
2022-09-01T13:00:00-00:00,2022-09-01T13:15:00-00:00,2022-09-01,07,SAUGUS_6_N008,SAUGUS_6_N008,SAUGUS_6_N008,RTPD,LMP,LMP_PRC,SAUGUS_6_N008,ALL,1,115.57895,1,1
2022-09-01T14:00:00-00:00,2022-09-01T14:15:00-00:00,2022-09-01,08,SAUGUS_6_N008,SAUGUS_6_N008,SAUGUS_6_N008,RTPD,LMP,LMP_PRC,SAUGUS_6_N008,ALL,1,117.67892,1,1
2022-09-01T15:00:00-00:00,2022-09-01T15:15:00-00:00,2022-09-01,09,SAUGUS_6_N008,SAUGUS_6_N008,SAUGUS_6_N008,RTPD,LMP,LMP_PRC,SAUGUS_6_N008,ALL,1,97.4112,1,1
2022-09-01T16:00:00-00:00,2022-09-01T16:15:00-00:00,2022-09-01,10,SAUGUS_6_N008,SAUGUS_6_N008,SAUGUS_6_N008,RTPD,LMP,LMP_PRC,SAUGUS_6_N008,ALL,1,85.0481,1,1
2022-09-01T17:00:00-00:00,2022-09-01T17:15:00-00:00,2022-09-01,11,SAUGUS_6_N008,SAUGUS_6_N008,SAUGUS_6_N008,RTPD,LMP,LMP_PRC,SAUGUS_6_N008,ALL,1,113.86111,1,1
2022-09-01T18:00:00-00:00,2022-09-01T18:15:00-00:00,2022-09-01,12,SAUGUS_6_N008,SAUGUS_6_N008,SAUGUS_6_N008,RTPD,LMP,LMP_PRC,SAUGUS_6_N008,ALL,1,128.12016,1,1
2022-09-01T19:00:00-00:00,2022-09-01T19:15:00-00:00,2022-09-01,13,SAUGUS_6_N008,SAUGUS_6_N008,SAUGUS_6_N008,RTPD,LMP,LMP_PRC,SAUGUS_6_N008,ALL,1,147.1558,1,1
2022-09-01T20:00:00-00:00,2022-09-01T20:15:00-00:00,2022-09-01,14,SAUGUS_6_N008,SAUGUS_6_N008,SAUGUS_6_N008,RTPD,LMP,LMP_PRC,SAUGUS_6_N008,ALL,1,121.26466,1,1
2022-09-01T21:00:00-00:00,2022-09-01T21:15:00-00:00,2022-09-01,15,SAUGUS_6_N008,SAUGUS_6_N008,SAUGUS_6_N008,RTPD,LMP,LMP_PRC,SAUGUS_6_N008,ALL,1,311.45694,1,1
2022-09-01T22:00:00-00:00,2022-09-01T22:15:00-00:00,2022-09-01,16,SAUGUS_6_N008,SAUGUS_6_N008,SAUGUS_6_N008,RTPD,LMP,LMP_PRC,SAUGUS_6_N008,ALL,1,321.85352,1,1
2022-09-01T23:00:00-00:00,2022-09-01T23:15:00-00:00,2022-09-01,17,SAUGUS_6_N008,SAUGUS_6_N008,SAUGUS_6_N008,RTPD,LMP,LMP_PRC,SAUGUS_6_N008,ALL,1,566.21,1,1
2022-09-02T00:00:00-00:00,2022-09-02T00:15:00-00:00,2022-09-01,18,SAUGUS_6_N008,SAUGUS_6_N008,SAUGUS_6_N008,RTPD,LMP,LMP_PRC,SAUGUS_6_N008,ALL,1,1028.4292,1,1
2022-09-02T01:00:00-00:00,2022-09-02T01:15:00-00:00,2022-09-01,19,SAUGUS_6_N008,SAUGUS_6_N008,SAUGUS_6_N008,RTPD,LMP,LMP_PRC,SAUGUS_6_N008,ALL,1,1117.5151,1,1
2022-09-02T02:00:00-00:00,2022-09-02T02:15:00-00:00,2022-09-01,20,SAUGUS_6_N008,SAUGUS_6_N008,SAUGUS_6_N008,RTPD,LMP,LMP_PRC,SAUGUS_6_N008,ALL,1,2004.1658,1,1
2022-09-02T03:00:00-00:00,2022-09-02T03:15:00-00:00,2022-09-01,21,SAUGUS_6_N008,SAUGUS_6_N008,SAUGUS_6_N008,RTPD,LMP,LMP_PRC,SAUGUS_6_N008,ALL,1,1386.1301,1,1
2022-09-02T04:00:00-00:00,2022-09-02T04:15:00-00:00,2022-09-01,22,SAUGUS_6_N008,SAUGUS_6_N008,SAUGUS_6_N008,RTPD,LMP,LMP_PRC,SAUGUS_6_N008,ALL,1,219.74509,1,1
2022-09-02T05:00:00-00:00,2022-09-02T05:15:00-00:00,2022-09-01,23,SAUGUS_6_N008,SAUGUS_6_N008,SAUGUS_6_N008,RTPD,LMP,LMP_PRC,SAUGUS_6_N008,ALL,1,215.7871,1,1
2022-09-02T06:00:00-00:00,2022-09-02T06:15:00-00:00,2022-09-01,24,SAUGUS_6_N008,SAUGUS_6_N008,SAUGUS_6_N008,RTPD,LMP,LMP_PRC,SAUGUS_6_N008,ALL,1,169.4409,1,1
2022-09-01T07:15:00-00:00,2022-09-01T07:30:00-00:00,2022-09-01,01,SAUGUS_6_N008,SAUGUS_6_N008,SAUGUS_6_N008,RTPD,LMP,LMP_PRC,SAUGUS_6_N008,ALL,1,135.18932,2,1
2022-09-01T08:15:00-00:00,2022-09-01T08:30:00-00:00,2022-09-01,02,SAUGUS_6_N008,SAUGUS_6_N008,SAUGUS_6_N008,RTPD,LMP,LMP_PRC,SAUGUS_6_N008,ALL,1,116.41931,2,1
2022-09-01T09:15:00-00:00,2022-09-01T09:30:00-00:00,2022-09-01,03,SAUGUS_6_N008,SAUGUS_6_N008,SAUGUS_6_N008,RTPD,LMP,LMP_PRC,SAUGUS_6_N008,ALL,1,111.92884,2,1
2022-09-01T10:15:00-00:00,2022-09-01T10:30:00-00:00,2022-09-01,04,SAUGUS_6_N008,SAUGUS_6_N008,SAUGUS_6_N008,RTPD,LMP,LMP_PRC,SAUGUS_6_N008,ALL,1,110.57847,2,1
2022-09-01T11:15:00-00:00,2022-09-01T11:30:00-00:00,2022-09-01,05,SAUGUS_6_N008,SAUGUS_6_N008,SAUGUS_6_N008,RTPD,LMP,LMP_PRC,SAUGUS_6_N008,ALL,1,111.53371,2,1
2022-09-01T12:15:00-00:00,2022-09-01T12:30:00-00:00,2022-09-01,06,SAUGUS_6_N008,SAUGUS_6_N008,SAUGUS_6_N008,RTPD,LMP,LMP_PRC,SAUGUS_6_N008,ALL,1,124.14524,2,1
2022-09-01T13:15:00-00:00,2022-09-01T13:30:00-00:00,2022-09-01,07,SAUGUS_6_N008,SAUGUS_6_N008,SAUGUS_6_N008,RTPD,LMP,LMP_PRC,SAUGUS_6_N008,ALL,1,119.83708,2,1
2022-09-01T14:15:00-00:00,2022-09-01T14:30:00-00:00,2022-09-01,08,SAUGUS_6_N008,SAUGUS_6_N008,SAUGUS_6_N008,RTPD,LMP,LMP_PRC,SAUGUS_6_N008,ALL,1,116.5167,2,1
2022-09-01T15:15:00-00:00,2022-09-01T15:30:00-00:00,2022-09-01,09,SAUGUS_6_N008,SAUGUS_6_N008,SAUGUS_6_N008,RTPD,LMP,LMP_PRC,SAUGUS_6_N008,ALL,1,88.32888,2,1
2022-09-01T16:15:00-00:00,2022-09-01T16:30:00-00:00,2022-09-01,10,SAUGUS_6_N008,SAUGUS_6_N008,SAUGUS_6_N008,RTPD,LMP,LMP_PRC,SAUGUS_6_N008,ALL,1,92.19606,2,1
2022-09-01T17:15:00-00:00,2022-09-01T17:30:00-00:00,2022-09-01,11,SAUGUS_6_N008,SAUGUS_6_N008,SAUGUS_6_N008,RTPD,LMP,LMP_PRC,SAUGUS_6_N008,ALL,1,119.72275,2,1
2022-09-01T18:15:00-00:00,2022-09-01T18:30:00-00:00,2022-09-01,12,SAUGUS_6_N008,SAUGUS_6_N008,SAUGUS_6_N008,RTPD,LMP,LMP_PRC,SAUGUS_6_N008,ALL,1,131.52835,2,1
2022-09-01T19:15:00-00:00,2022-09-01T19:30:00-00:00,2022-09-01,13,SAUGUS_6_N008,SAUGUS_6_N008,SAUGUS_6_N008,RTPD,LMP,LMP_PRC,SAUGUS_6_N008,ALL,1,133.70163,2,1
2022-09-01T20:15:00-00:00,2022-09-01T20:30:00-00:00,2022-09-01,14,SAUGUS_6_N008,SAUGUS_6_N008,SAUGUS_6_N008,RTPD,LMP,LMP_PRC,SAUGUS_6_N008,ALL,1,120.4849,2,1
2022-09-01T21:15:00-00:00,2022-09-01T21:30:00-00:00,2022-09-01,15,SAUGUS_6_N008,SAUGUS_6_N008,SAUGUS_6_N008,RTPD,LMP,LMP_PRC,SAUGUS_6_N008,ALL,1,170.14087,2,1
2022-09-01T22:15:00-00:00,2022-09-01T22:30:00-00:00,2022-09-01,16,SAUGUS_6_N008,SAUGUS_6_N008,SAUGUS_6_N008,RTPD,LMP,LMP_PRC,SAUGUS_6_N008,ALL,1,361.08292,2,1
2022-09-01T23:15:00-00:00,2022-09-01T23:30:00-00:00,2022-09-01,17,SAUGUS_6_N008,SAUGUS_6_N008,SAUGUS_6_N008,RTPD,LMP,LMP_PRC,SAUGUS_6_N008,ALL,1,489.94852,2,1
2022-09-02T00:15:00-00:00,2022-09-02T00:30:00-00:00,2022-09-01,18,SAUGUS_6_N008,SAUGUS_6_N008,SAUGUS_6_N008,RTPD,LMP,LMP_PRC,SAUGUS_6_N008,ALL,1,931.5239,2,1
2022-09-02T01:15:00-00:00,2022-09-02T01:30:00-00:00,2022-09-01,19,SAUGUS_6_N008,SAUGUS_6_N008,SAUGUS_6_N008,RTPD,LMP,LMP_PRC,SAUGUS_6_N008,ALL,1,1999.9998,2,1
2022-09-02T02:15:00-00:00,2022-09-02T02:30:00-00:00,2022-09-01,20,SAUGUS_6_N008,SAUGUS_6_N008,SAUGUS_6_N008,RTPD,LMP,LMP_PRC,SAUGUS_6_N008,ALL,1,2004.1658,2,1
2022-09-02T03:15:00-00:00,2022-09-02T03:30:00-00:00,2022-09-01,21,SAUGUS_6_N008,SAUGUS_6_N008,SAUGUS_6_N008,RTPD,LMP,LMP_PRC,SAUGUS_6_N008,ALL,1,565.2974,2,1
2022-09-02T04:15:00-00:00,2022-09-02T04:30:00-00:00,2022-09-01,22,SAUGUS_6_N008,SAUGUS_6_N008,SAUGUS_6_N008,RTPD,LMP,LMP_PRC,SAUGUS_6_N008,ALL,1,186.30042,2,1
2022-09-02T05:15:00-00:00,2022-09-02T05:30:00-00:00,2022-09-01,23,SAUGUS_6_N008,SAUGUS_6_N008,SAUGUS_6_N008,RTPD,LMP,LMP_PRC,SAUGUS_6_N008,ALL,1,187.4356,2,1
2022-09-02T06:15:00-00:00,2022-09-02T06:30:00-00:00,2022-09-01,24,SAUGUS_6_N008,SAUGUS_6_N008,SAUGUS_6_N008,RTPD,LMP,LMP_PRC,SAUGUS_6_N008,ALL,1,159.79196,2,1
2022-09-01T07:30:00-00:00,2022-09-01T07:45:00-00:00,2022-09-01,01,SAUGUS_6_N008,SAUGUS_6_N008,SAUGUS_6_N008,RTPD,LMP,LMP_PRC,SAUGUS_6_N008,ALL,1,134.75346,3,1
