INTERVALSTARTTIME_GMT,INTERVALENDTIME_GMT,OPR_DT,OPR_HR,NODE_ID_XML,NODE_ID,NODE,MARKET_RUN_ID,LMP_TYPE,XML_DATA_ITEM,PNODE_RESMRID,GRP_TYPE,POS,PRC,OPR_INTERVAL,GROUP
2022-09-01T07:00:00-00:00,2022-09-01T07:15:00-00:00,2022-09-01,01,ALTA1G_7_B1,ALTA1G_7_B1,ALTA1G_7_B1,RTPD,LMP,LMP_PRC,ALTA1G_7_B1,ALL,1,151.04616,1,1
2022-09-01T08:00:00-00:00,2022-09-01T08:15:00-00:00,2022-09-01,02,ALTA1G_7_B1,ALTA1G_7_B1,ALTA1G_7_B1,RTPD,LMP,LMP_PRC,ALTA1G_7_B1,ALL,1,118.58913,1,1
2022-09-01T09:00:00-00:00,2022-09-01T09:15:00-00:00,2022-09-01,03,ALTA1G_7_B1,ALTA1G_7_B1,ALTA1G_7_B1,RTPD,LMP,LMP_PRC,ALTA1G_7_B1,ALL,1,117.69679,1,1
2022-09-01T10:00:00-00:00,2022-09-01T10:15:00-00:00,2022-09-01,04,ALTA1G_7_B1,ALTA1G_7_B1,ALTA1G_7_B1,RTPD,LMP,LMP_PRC,ALTA1G_7_B1,ALL,1,114.97967,1,1
2022-09-01T11:00:00-00:00,2022-09-01T11:15:00-00:00,2022-09-01,05,ALTA1G_7_B1,ALTA1G_7_B1,ALTA1G_7_B1,RTPD,LMP,LMP_PRC,ALTA1G_7_B1,ALL,1,113.28701,1,1
2022-09-01T12:00:00-00:00,2022-09-01T12:15:00-00:00,2022-09-01,06,ALTA1G_7_B1,ALTA1G_7_B1,ALTA1G_7_B1,RTPD,LMP,LMP_PRC,ALTA1G_7_B1,ALL,1,115.90856,1,1
2022-09-01T13:00:00-00:00,2022-09-01T13:15:00-00:00,2022-09-01,07,ALTA1G_7_B1,ALTA1G_7_B1,ALTA1G_7_B1,RTPD,LMP,LMP_PRC,ALTA1G_7_B1,ALL,1,114.61802,1,1
2022-09-01T14:00:00-00:00,2022-09-01T14:15:00-00:00,2022-09-01,08,ALTA1G_7_B1,ALTA1G_7_B1,ALTA1G_7_B1,RTPD,LMP,LMP_PRC,ALTA1G_7_B1,ALL,1,121.11228,1,1
2022-09-01T15:00:00-00:00,2022-09-01T15:15:00-00:00,2022-09-01,09,ALTA1G_7_B1,ALTA1G_7_B1,ALTA1G_7_B1,RTPD,LMP,LMP_PRC,ALTA1G_7_B1,ALL,1,97.4112,1,1
2022-09-01T16:00:00-00:00,2022-09-01T16:15:00-00:00,2022-09-01,10,ALTA1G_7_B1,ALTA1G_7_B1,ALTA1G_7_B1,RTPD,LMP,LMP_PRC,ALTA1G_7_B1,ALL,1,83.43525,1,1
2022-09-01T17:00:00-00:00,2022-09-01T17:15:00-00:00,2022-09-01,11,ALTA1G_7_B1,ALTA1G_7_B1,ALTA1G_7_B1,RTPD,LMP,LMP_PRC,ALTA1G_7_B1,ALL,1,111.67889,1,1
2022-09-01T18:00:00-00:00,2022-09-01T18:15:00-00:00,2022-09-01,12,ALTA1G_7_B1,ALTA1G_7_B1,ALTA1G_7_B1,RTPD,LMP,LMP_PRC,ALTA1G_7_B1,ALL,1,118.71773,1,1
2022-09-01T19:00:00-00:00,2022-09-01T19:15:00-00:00,2022-09-01,13,ALTA1G_7_B1,ALTA1G_7_B1,ALTA1G_7_B1,RTPD,LMP,LMP_PRC,ALTA1G_7_B1,ALL,1,138.63483,1,1
2022-09-01T20:00:00-00:00,2022-09-01T20:15:00-00:00,2022-09-01,14,ALTA1G_7_B1,ALTA1G_7_B1,ALTA1G_7_B1,RTPD,LMP,LMP_PRC,ALTA1G_7_B1,ALL,1,120.83793,1,1
2022-09-01T21:00:00-00:00,2022-09-01T21:15:00-00:00,2022-09-01,15,ALTA1G_7_B1,ALTA1G_7_B1,ALTA1G_7_B1,RTPD,LMP,LMP_PRC,ALTA1G_7_B1,ALL,1,310.2786,1,1
2022-09-01T22:00:00-00:00,2022-09-01T22:15:00-00:00,2022-09-01,16,ALTA1G_7_B1,ALTA1G_7_B1,ALTA1G_7_B1,RTPD,LMP,LMP_PRC,ALTA1G_7_B1,ALL,1,320.14536,1,1
2022-09-01T23:00:00-00:00,2022-09-01T23:15:00-00:00,2022-09-01,17,ALTA1G_7_B1,ALTA1G_7_B1,ALTA1G_7_B1,RTPD,LMP,LMP_PRC,ALTA1G_7_B1,ALL,1,561.7234,1,1
2022-09-02T00:00:00-00:00,2022-09-02T00:15:00-00:00,2022-09-01,18,ALTA1G_7_B1,ALTA1G_7_B1,ALTA1G_7_B1,RTPD,LMP,LMP_PRC,ALTA1G_7_B1,ALL,1,1010.62476,1,1
2022-09-02T01:00:00-00:00,2022-09-02T01:15:00-00:00,2022-09-01,19,ALTA1G_7_B1,ALTA1G_7_B1,ALTA1G_7_B1,RTPD,LMP,LMP_PRC,ALTA1G_7_B1,ALL,1,1092.7242,1,1
2022-09-02T02:00:00-00:00,2022-09-02T02:15:00-00:00,2022-09-01,20,ALTA1G_7_B1,ALTA1G_7_B1,ALTA1G_7_B1,RTPD,LMP,LMP_PRC,ALTA1G_7_B1,ALL,1,1991.6721,1,1
2022-09-02T03:00:00-00:00,2022-09-02T03:15:00-00:00,2022-09-01,21,ALTA1G_7_B1,ALTA1G_7_B1,ALTA1G_7_B1,RTPD,LMP,LMP_PRC,ALTA1G_7_B1,ALL,1,1378.4929,1,1
2022-09-02T04:00:00-00:00,2022-09-02T04:15:00-00:00,2022-09-01,22,ALTA1G_7_B1,ALTA1G_7_B1,ALTA1G_7_B1,RTPD,LMP,LMP_PRC,ALTA1G_7_B1,ALL,1,242.59467,1,1
2022-09-02T05:00:00-00:00,2022-09-02T05:15:00-00:00,2022-09-01,23,ALTA1G_7_B1,ALTA1G_7_B1,ALTA1G_7_B1,RTPD,LMP,LMP_PRC,ALTA1G_7_B1,ALL,1,230.7145,1,1
2022-09-02T06:00:00-00:00,2022-09-02T06:15:00-00:00,2022-09-01,24,ALTA1G_7_B1,ALTA1G_7_B1,ALTA1G_7_B1,RTPD,LMP,LMP_PRC,ALTA1G_7_B1,ALL,1,180.97177,1,1
2022-09-01T07:15:00-00:00,2022-09-01T07:30:00-00:00,2022-09-01,01,ALTA1G_7_B1,ALTA1G_7_B1,ALTA1G_7_B1,RTPD,LMP,LMP_PRC,ALTA1G_7_B1,ALL,1,134.53452,2,1
2022-09-01T08:15:00-00:00,2022-09-01T08:30:00-00:00,2022-09-01,02,ALTA1G_7_B1,ALTA1G_7_B1,ALTA1G_7_B1,RTPD,LMP,LMP_PRC,ALTA1G_7_B1,ALL,1,116.35946,2,1
2022-09-01T09:15:00-00:00,2022-09-01T09:30:00-00:00,2022-09-01,03,ALTA1G_7_B1,ALTA1G_7_B1,ALTA1G_7_B1,RTPD,LMP,LMP_PRC,ALTA1G_7_B1,ALL,1,117.21915,2,1
2022-09-01T10:15:00-00:00,2022-09-01T10:30:00-00:00,2022-09-01,04,ALTA1G_7_B1,ALTA1G_7_B1,ALTA1G_7_B1,RTPD,LMP,LMP_PRC,ALTA1G_7_B1,ALL,1,113.70117,2,1
2022-09-01T11:15:00-00:00,2022-09-01T11:30:00-00:00,2022-09-01,05,ALTA1G_7_B1,ALTA1G_7_B1,ALTA1G_7_B1,RTPD,LMP,LMP_PRC,ALTA1G_7_B1,ALL,1,113.89448,2,1
2022-09-01T12:15:00-00:00,2022-09-01T12:30:00-00:00,2022-09-01,06,ALTA1G_7_B1,ALTA1G_7_B1,ALTA1G_7_B1,RTPD,LMP,LMP_PRC,ALTA1G_7_B1,ALL,1,126.4853,2,1
2022-09-01T13:15:00-00:00,2022-09-01T13:30:00-00:00,2022-09-01,07,ALTA1G_7_B1,ALTA1G_7_B1,ALTA1G_7_B1,RTPD,LMP,LMP_PRC,ALTA1G_7_B1,ALL,1,123.72447,2,1
2022-09-01T14:15:00-00:00,2022-09-01T14:30:00-00:00,2022-09-01,08,ALTA1G_7_B1,ALTA1G_7_B1,ALTA1G_7_B1,RTPD,LMP,LMP_PRC,ALTA1G_7_B1,ALL,1,113.75724,2,1
2022-09-01T15:15:00-00:00,2022-09-01T15:30:00-00:00,2022-09-01,09,ALTA1G_7_B1,ALTA1G_7_B1,ALTA1G_7_B1,RTPD,LMP,LMP_PRC,ALTA1G_7_B1,ALL,1,86.9388,2,1
2022-09-01T16:15:00-00:00,2022-09-01T16:30:00-00:00,2022-09-01,10,ALTA1G_7_B1,ALTA1G_7_B1,ALTA1G_7_B1,RTPD,LMP,LMP_PRC,ALTA1G_7_B1,ALL,1,90.95055,2,1
2022-09-01T17:15:00-00:00,2022-09-01T17:30:00-00:00,2022-09-01,11,ALTA1G_7_B1,ALTA1G_7_B1,ALTA1G_7_B1,RTPD,LMP,LMP_PRC,ALTA1G_7_B1,ALL,1,116.96923,2,1
2022-09-01T18:15:00-00:00,2022-09-01T18:30:00-00:00,2022-09-01,12,ALTA1G_7_B1,ALTA1G_7_B1,ALTA1G_7_B1,RTPD,LMP,LMP_PRC,ALTA1G_7_B1,ALL,1,123.24686,2,1
2022-09-01T19:15:00-00:00,2022-09-01T19:30:00-00:00,2022-09-01,13,ALTA1G_7_B1,ALTA1G_7_B1,ALTA1G_7_B1,RTPD,LMP,LMP_PRC,ALTA1G_7_B1,ALL,1,129.54765,2,1
2022-09-01T20:15:00-00:00,2022-09-01T20:30:00-00:00,2022-09-01,14,ALTA1G_7_B1,ALTA1G_7_B1,ALTA1G_7_B1,RTPD,LMP,LMP_PRC,ALTA1G_7_B1,ALL,1,120.10062,2,1
2022-09-01T21:15:00-00:00,2022-09-01T21:30:00-00:00,2022-09-01,15,ALTA1G_7_B1,ALTA1G_7_B1,ALTA1G_7_B1,RTPD,LMP,LMP_PRC,ALTA1G_7_B1,ALL,1,169.8224,2,1
2022-09-01T22:15:00-00:00,2022-09-01T22:30:00-00:00,2022-09-01,16,ALTA1G_7_B1,ALTA1G_7_B1,ALTA1G_7_B1,RTPD,LMP,LMP_PRC,ALTA1G_7_B1,ALL,1,356.8401,2,1
2022-09-01T23:15:00-00:00,2022-09-01T23:30:00-00:00,2022-09-01,17,ALTA1G_7_B1,ALTA1G_7_B1,ALTA1G_7_B1,RTPD,LMP,LMP_PRC,ALTA1G_7_B1,ALL,1,486.51028,2,1
2022-09-02T00:15:00-00:00,2022-09-02T00:30:00-00:00,2022-09-01,18,ALTA1G_7_B1,ALTA1G_7_B1,ALTA1G_7_B1,RTPD,LMP,LMP_PRC,ALTA1G_7_B1,ALL,1,911.5003,2,1
2022-09-02T01:15:00-00:00,2022-09-02T01:30:00-00:00,2022-09-01,19,ALTA1G_7_B1,ALTA1G_7_B1,ALTA1G_7_B1,RTPD,LMP,LMP_PRC,ALTA1G_7_B1,ALL,1,1999.9933,2,1
