,TOME_1_VEFGTGNODE,SPILLS_6_ELVADOHYDROGNODE,PERSON_1_RIOBRAVOGNODE,REEVES_1_REEVES3GNODE,ARRIBA_1_SANMIGUEL2PVGNODE,ARROYO_1_ARROYOSOLARGNODE,ELBUTTE_1_ELBUTTEHYDROGNODE,TAIBANM_3_LONEMESAWFGNODE,JARALES_1_RIOCOMMPVGNODE,HONDALE_1_DEMINGPVGNODE,S_COORS_1_SOUTHVALLEPVGNODE,SANJUAN_3_SANJUAN1GNODE,LUNA_3_LEFGNODE,FC_3_PNM_FCST4GNODE,LIGHTDOC_1_LIGHTNINGDGEOGNODE,LOSTHORZ_1_FACEBOOK3PVGNODE,LORDBURG_1_GEN1GTGNODE,ALAMOGCP_1_ALAMOPVGNODE,ARRIBAT_1_LASVEGASPVGNODE,TA3_7_CGTGGNODE,LOSMORRO_1_LOSLUNASPVGNODE,ALAMOGCP_1_OTEROPVGNODE,COYTEJCT_6_ABIQUIUHYDROGNODE,AFTON_3_AFTONCTGNODE,PYGS_1_PYRAMID A3GNODE,BRITTON_1_BRITTONPVGNODE,CLINESCO_3_ELCABOWF2GNODE,REEVES_1_REEVES2GNODE,PYGS_1_PYRAMID A2GNODE,LOSTHORZ_1_SANTOLINAPVGNODE,BELEN_1_LALUZGNODE,LAJOYA_3_LJOYA2GNODE,FC_5_PNM_FCST5GNODE,COLLEGE_1_VISTAPVGNODE,WILLARD_1_HIGHLONEWFGNODE,LONEMESA_7_CASAMESAWFGNODE,STATEPEN_1_SANTAFEPVGNODE,GUADALUP_3_ARAGONNEWFGNODE,HURLEY_LNODERLEY,LONEMESA_7_CASAMEBATTGNODE,AFTON_3_AFTONSTGNODE,LOSTHORZ_1_FACEBOOK2PVGNODE,TOME_1_RIODELOROPVGNODE,LORDBURG_1_GEN2GTGNODE,PYGS_1_PYRAMID A4GNODE,SANJUAN_3_SANJUAN4GNODE,PYGS_1_PYRAMID A1GNODE,REEVES_1_REEVESPVGNODE,MARQUEZ_1_CIBOLAPVGNODE,CIBOLA_1_ROUTE66GNODE,REEVES_1_REEVES1GNODE,ELCERRO_1_MEADOWLAKEPVGNODE,LAJOYA_3_LJOYA1GNODE,COLLEGE_1_MANZANOPVGNODE,PDTYRONE_LNODERONE,ARRIBA_1_SANMIGUEL1PVGNODE,SPRV_3_COAL_SPV3GNODE,CLINESCO_3_ELCABOWF1GNODE,MD1_LNODEMINE,REDMESA_1_REDMESAWFGNODE,CMFS_1_SOLA_CIMGNODE,RIOPUERC_3_ENCINOPVGNODE,PROGRESS_1_SANDOVALPVGNODE,ARROYO_1_ARROYOBATTERYGNODE,SCENIC_1_RIORANCHOPVGNODE,ALLN_1_ALLN SOLARGNODE,LOSMORRO_1_FACEBOOK1PVGNODE,IVANHOE_LNODENHOE,STUDIO_1_PROSPERITYGNODE
2022-09-01T09:30:00-00:00,3.85717,3.74905,3.85717,3.85717,3.26137,3.84394,4.04695,3.84394,3.8704,4.15507,3.85717,3.81634,4.15507,3.84394,4.1959,3.85717,4.1959,4.10101,3.26137,3.78988,3.85717,4.10101,3.74905,4.11424,4.1959,3.85717,3.84394,3.85717,4.1959,3.85717,3.8704,3.84394,3.96529,3.85717,3.85717,3.84394,3.7755,3.84394,4.1683,3.84394,4.11424,3.85717,3.85717,4.1959,4.1959,3.81634,4.1959,3.85717,3.85717,3.85717,3.85717,3.85717,3.84394,3.85717,4.1959,3.26137,4.20913,3.84394,4.1959,3.85717,2.74723,3.85717,3.84394,3.84394,3.85717,4.11424,3.85717,4.1959,3.85717
2022-09-01T09:45:00-00:00,3.49404,3.39713,3.49404,3.48219,2.95999,3.45744,3.66416,3.45744,3.49404,3.74921,3.49404,3.43373,3.76107,3.45744,3.79767,3.49404,3.79767,3.70076,2.95999,3.43373,3.49404,3.70076,3.39713,3.72447,3.79767,3.48219,3.45744,3.48219,3.79767,3.49404,3.49404,3.45744,3.5791,3.49404,3.49404,3.45744,3.39713,3.45744,3.76107,3.45744,3.72447,3.49404,3.49404,3.79767,3.79767,3.43373,3.79767,3.48219,3.49404,3.49404,3.48219,3.49404,3.45744,3.49404,3.77293,2.95999,3.79767,3.45744,3.77293,3.49404,2.49913,3.45744,3.45744,3.45744,3.48219,3.72447,3.49404,3.77293,3.49404
2022-09-01T10:00:00-00:00,2.60575,2.53348,2.5873,2.57846,2.20747,2.57846,2.73262,2.57846,2.60575,2.78644,2.5873,2.56077,2.8049,2.57846,2.82258,2.60575,2.82258,2.7503,2.20747,2.55116,2.60575,2.7503,2.53348,2.7776,2.82258,2.57846,2.57846,2.57846,2.82258,2.60575,2.60575,2.57846,2.66919,2.60575,2.60575,2.57846,2.53348,2.57846,2.8049,2.57846,2.7776,2.60575,2.60575,2.82258,2.82258,2.56077,2.82258,2.57846,2.60575,2.60575,2.57846,2.60575,2.57846,2.60575,2.81374,2.20747,2.83219,2.57846,2.81374,2.60575,1.85417,2.57846,2.57846,2.57846,2.57846,2.76876,2.60575,2.8049,2.5873
2022-09-01T10:15:00-00:00,3.68711,3.58484,3.661,3.64849,3.12355,3.64849,3.86663,3.64849,3.68711,3.94279,3.661,3.62347,3.9689,3.64849,3.99392,3.68711,3.99392,3.89165,3.12355,3.60987,3.68711,3.89165,3.58484,3.93027,3.99392,3.64849,3.64849,3.64849,3.99392,3.68711,3.68711,3.64849,3.77687,3.68711,3.68711,3.64849,3.58484,3.64849,3.9689,3.64849,3.93027,3.68711,3.68711,3.99392,3.99392,3.62347,3.99392,3.64849,3.68711,3.68711,3.64849,3.68711,3.64849,3.68711,3.98141,3.12355,4.00752,3.64849,3.98141,3.68711,2.62363,3.64849,3.64849,3.64849,3.661,3.91776,3.68711,3.9689,3.661
2022-09-01T10:30:00-00:00,2.08479,2.02697,2.08479,2.07003,1.76614,2.06295,2.18629,2.06295,2.08479,2.22936,2.08479,2.05588,2.24412,2.06295,2.26596,2.08479,2.26596,2.21521,1.76614,2.04112,2.08479,2.21521,2.02697,2.22228,2.26596,2.0771,2.06295,2.07003,2.26596,2.08479,2.08479,2.06295,2.14262,2.08479,2.08479,2.06295,2.03404,2.06295,2.24412,2.06295,2.22228,2.08479,2.08479,2.26596,2.26596,2.05588,2.26596,2.07003,2.08479,2.08479,2.07003,2.08479,2.06295,2.08479,2.25827,1.76614,2.26596,2.06295,2.25119,2.08479,1.49116,2.06295,2.06295,2.06295,2.08479,2.22228,2.08479,2.25119,2.08479
2022-09-01T10:45:00-00:00,0.82103,0.79825,0.82103,0.82103,0.69553,0.81824,0.861,0.81824,0.82381,0.88377,0.82103,0.81243,0.88377,0.81824,0.89237,0.82103,0.89237,0.87239,0.69553,0.80685,0.82103,0.87239,0.79825,0.87517,0.89237,0.82103,0.81824,0.82103,0.89237,0.82103,0.82381,0.81824,0.8438,0.82103,0.82103,0.81824,0.80383,0.81824,0.88656,0.81824,0.87517,0.82103,0.82103,0.89237,0.89237,0.81243,0.89237,0.82103,0.82103,0.82103,0.82103,0.82103,0.81824,0.82103,0.88934,0.69553,0.89516,0.81824,0.88934,0.82103,0.59003,0.81824,0.81824,0.81824,0.82103,0.87517,0.82103,0.88934,0.82103
2022-09-01T11:00:00-00:00,-0.0032,-0.0032,-0.0032,-0.0032,-0.0032,-0.0032,-0.0032,-0.0032,-0.0032,-0.0032,-0.0032,-0.0032,-0.0032,-0.0032,-0.0032,-0.0032,-0.0032,-0.0032,-0.0032,-0.0032,-0.0032,-0.0032,-0.0032,-0.0032,-0.0032,-0.0032,-0.0032,-0.0032,-0.0032,-0.0032,-0.0032,-0.0032,-0.0032,-0.0032,-0.0032,-0.0032,-0.0032,-0.0032,-0.0032,-0.0032,-0.0032,-0.0032,-0.0032,-0.0032,-0.0032,-0.0032,-0.0032,-0.0032,-0.0032,-0.0032,-0.0032,-0.0032,-0.0032,-0.0032,-0.0032,-0.0032,-0.0032,-0.0032,-0.0032,-0.0032,-0.0032,-0.0032,-0.0032,-0.0032,-0.0032,-0.0032,-0.0032,-0.0032,-0.0032
2022-09-01T11:15:00-00:00,-0.004,-0.004,-0.004,-0.004,-0.004,-0.004,-0.004,-0.004,-0.004,-0.004,-0.004,-0.004,-0.004,-0.004,-0.004,-0.004,-0.004,-0.004,-0.004,-0.004,-0.004,-0.004,-0.004,-0.004,-0.004,-0.004,-0.004,-0.004,-0.004,-0.004,-0.004,-0.004,-0.004,-0.004,-0.004,-0.004,-0.004,-0.004,-0.004,-0.004,-0.004,-0.004,-0.004,-0.004,-0.004,-0.004,-0.004,-0.004,-0.004,-0.004,-0.004,-0.004,-0.004,-0.004,-0.004,-0.004,-0.004,-0.004,-0.004,-0.004,-0.004,-0.004,-0.004,-0.004,-0.004,-0.004,-0.004,-0.004,-0.004
2022-09-01T11:30:00-00:00,-0.004,-0.004,-0.004,-0.004,-0.004,-0.004,-0.004,-0.004,-0.004,-0.004,-0.004,-0.004,-0.004,-0.004,-0.004,-0.004,-0.004,-0.004,-0.004,-0.004,-0.004,-0.004,-0.004,-0.004,-0.004,-0.004,-0.004,-0.004,-0.004,-0.004,-0.004,-0.004,-0.004,-0.004,-0.004,-0.004,-0.004,-0.004,-0.004,-0.004,-0.004,-0.004,-0.004,-0.004,-0.004,-0.004,-0.004,-0.004,-0.004,-0.004,-0.004,-0.004,-0.004,-0.004,-0.004,-0.004,-0.004,-0.004,-0.004,-0.004,-0.004,-0.004,-0.004,-0.004,-0.004,-0.004,-0.004,-0.004,-0.004
2022-09-01T11:45:00-00:00,-0.0032,-0.0032,-0.0032,-0.0032,-0.0032,-0.0032,-0.0032,-0.0032,-0.0032,-0.0032,-0.0032,-0.0032,-0.0032,-0.0032,-0.0032,-0.0032,-0.0032,-0.0032,-0.0032,-0.0032,-0.0032,-0.0032,-0.0032,-0.0032,-0.0032,-0.0032,-0.0032,-0.0032,-0.0032,-0.0032,-0.0032,-0.0032,-0.0032,-0.0032,-0.0032,-0.0032,-0.0032,-0.0032,-0.0032,-0.0032,-0.0032,-0.0032,-0.0032,-0.0032,-0.0032,-0.0032,-0.0032,-0.0032,-0.0032,-0.0032,-0.0032,-0.0032,-0.0032,-0.0032,-0.0032,-0.0032,-0.0032,-0.0032,-0.0032,-0.0032,-0.0032,-0.0032,-0.0032,-0.0032,-0.0032,-0.0032,-0.0032,-0.0032,-0.0032
