,Unnamed: 0,Lat,Lng,PNODE_ID,Type,ISO,NodeLMP,NodeMCC,NodeMCE,Average MCC
39,4700,35.01279,-106.856336,LOSTHORZ_1_SANTOLINAPVGNODE,GEN,PNM,"<img src=""./data/NODE_LMP_Plots/LOSTHORZ_1_SANTOLINAPVGNODE/NodeLMP.png"" width=""200"" height=""120""/>","<img src=""./data/NODE_LMP_Plots/LOSTHORZ_1_SANTOLINAPVGNODE/NodeMCC.png"" width=""200"" height=""120""/>","<img src=""./data/NODE_LMP_Plots/LOSTHORZ_1_SANTOLINAPVGNODE/NodeMCE.png"" width=""200"" height=""120""/>",-74.35985906249998
40,4752,35.171641135599224,-106.60192473289774,LUNA_3_LEFGNODE,GEN,PNM,"<img src=""./data/NODE_LMP_Plots/LUNA_3_LEFGNODE/NodeLMP.png"" width=""200"" height=""120""/>","<img src=""./data/NODE_LMP_Plots/LUNA_3_LEFGNODE/NodeMCC.png"" width=""200"" height=""120""/>","<img src=""./data/NODE_LMP_Plots/LUNA_3_LEFGNODE/NodeMCE.png"" width=""200"" height=""120""/>",-61.40996041666668
41,4866,35.25692,-107.250976,MARQUEZ_1_CIBOLAPVGNODE,GEN,PNM,"<img src=""./data/NODE_LMP_Plots/MARQUEZ_1_CIBOLAPVGNODE/NodeLMP.png"" width=""200"" height=""120""/>","<img src=""./data/NODE_LMP_Plots/MARQUEZ_1_CIBOLAPVGNODE/NodeMCC.png"" width=""200"" height=""120""/>","<img src=""./data/NODE_LMP_Plots/MARQUEZ_1_CIBOLAPVGNODE/NodeMCE.png"" width=""200"" height=""120""/>",-74.35965635416663
42,5012,32.77,-108.15,MD1_LNODEMINE,GEN,PNM,"<img src=""./data/NODE_LMP_Plots/MD1_LNODEMINE/NodeLMP.png"" width=""200"" height=""120""/>","<img src=""./data/NODE_LMP_Plots/MD1_LNODEMINE/NodeMCC.png"" width=""200"" height=""120""/>","<img src=""./data/NODE_LMP_Plots/MD1_LNODEMINE/NodeMCE.png"" width=""200"" height=""120""/>",-60.1831940625
43,6009,32.71,-108.31,PDTYRONE_LNODERONE,GEN,PNM,"<img src=""./data/NODE_LMP_Plots/PDTYRONE_LNODERONE/NodeLMP.png"" width=""200"" height=""120""/>","<img src=""./data/NODE_LMP_Plots/PDTYRONE_LNODERONE/NodeMCC.png"" width=""200"" height=""120""/>","<img src=""./data/NODE_LMP_Plots/PDTYRONE_LNODERONE/NodeMCE.png"" width=""200"" height=""120""/>",-60.085024583333315
44,6061,35.027677,-106.642247,PERSON_1_RIOBRAVOGNODE,GEN,PNM,"<img src=""./data/NODE_LMP_Plots/PERSON_1_RIOBRAVOGNODE/NodeLMP.png"" width=""200"" height=""120""/>","<img src=""./data/NODE_LMP_Plots/PERSON_1_RIOBRAVOGNODE/NodeMCC.png"" width=""200"" height=""120""/>","<img src=""./data/NODE_LMP_Plots/PERSON_1_RIOBRAVOGNODE/NodeMCE.png"" width=""200"" height=""120""/>",-74.54943656249999
45,6293,35.28228,-106.808219,PROGRESS_1_SANDOVALPVGNODE,GEN,PNM,"<img src=""./data/NODE_LMP_Plots/PROGRESS_1_SANDOVALPVGNODE/NodeLMP.png"" width=""200"" height=""120""/>","<img src=""./data/NODE_LMP_Plots/PROGRESS_1_SANDOVALPVGNODE/NodeMCC.png"" width=""200"" height=""120""/>","<img src=""./data/NODE_LMP_Plots/PROGRESS_1_SANDOVALPVGNODE/NodeMCE.png"" width=""200"" height=""120""/>",-74.78029510416667
46,6367,32.23751495052223,-108.54844365585338,PYGS_1_PYRAMID A1GNODE,GEN,PNM,"<img src=""./data/NODE_LMP_Plots/PYGS_1_PYRAMID A1GNODE/NodeLMP.png"" width=""200"" height=""120""/>","<img src=""./data/NODE_LMP_Plots/PYGS_1_PYRAMID A1GNODE/NodeMCC.png"" width=""200"" height=""120""/>","<img src=""./data/NODE_LMP_Plots/PYGS_1_PYRAMID A1GNODE/NodeMCE.png"" width=""200"" height=""120""/>",-59.539159687499996
47,6368,32.2373350493886,-108.54844365606394,PYGS_1_PYRAMID A2GNODE,GEN,PNM,"<img src=""./data/NODE_LMP_Plots/PYGS_1_PYRAMID A2GNODE/NodeLMP.png"" width=""200"" height=""120""/>","<img src=""./data/NODE_LMP_Plots/PYGS_1_PYRAMID A2GNODE/NodeMCC.png"" width=""200"" height=""120""/>","<img src=""./data/NODE_LMP_Plots/PYGS_1_PYRAMID A2GNODE/NodeMCE.png"" width=""200"" height=""120""/>",-59.539159687499996
48,6369,32.2373350493886,-108.54865634393606,PYGS_1_PYRAMID A3GNODE,GEN,PNM,"<img src=""./data/NODE_LMP_Plots/PYGS_1_PYRAMID A3GNODE/NodeLMP.png"" width=""200"" height=""120""/>","<img src=""./data/NODE_LMP_Plots/PYGS_1_PYRAMID A3GNODE/NodeMCC.png"" width=""200"" height=""120""/>","<img src=""./data/NODE_LMP_Plots/PYGS_1_PYRAMID A3GNODE/NodeMCE.png"" width=""200"" height=""120""/>",-59.539159687499996
