,PNODE_ID,AS_ID,Type,RES_ID,BUS_ID,FNMVERSION,RELEASE_DATE,GROUP,Lat,Lng,NodeLMP,NodeMCC,NodeMCE,Average MCC
105,JAMACHA_6_N006,AS_SP26,LOAD,JMACHA_6_LD31,22364_JAMACHA _69.0_LD30,22M7_DB114,2022-07-28 0:00:00,1868,32.744039,-116.95708,"<img src=""./data/SDGE_NODE_LMP_Plots/JAMACHA_6_N006/SDGENodeLMP.png"" width=""200"" height=""120""/>","<img src=""./data/SDGE_NODE_LMP_Plots/JAMACHA_6_N006/SDGENodeMCC.png"" width=""200"" height=""120""/>","<img src=""./data/SDGE_NODE_LMP_Plots/JAMACHA_6_N006/SDGENodeMCE.png"" width=""200"" height=""120""/>",78.18734942708336
106,JAMACHA_6_N015,AS_SP26,LOAD,JMACHA_6_LD30,22364_JAMACHA _69.0_LD30,22M7_DB114,2022-07-28 0:00:00,1867,32.744049,-116.95742,"<img src=""./data/SDGE_NODE_LMP_Plots/JAMACHA_6_N015/SDGENodeLMP.png"" width=""200"" height=""120""/>","<img src=""./data/SDGE_NODE_LMP_Plots/JAMACHA_6_N015/SDGENodeMCC.png"" width=""200"" height=""120""/>","<img src=""./data/SDGE_NODE_LMP_Plots/JAMACHA_6_N015/SDGENodeMCE.png"" width=""200"" height=""120""/>",38.1179963888889
107,JAPMESA_6_N001,AS_SP15,LOAD,JAPNSE_6_LD31,22368_JAP MESA_69.0_LD31,22M7_DB114,2022-07-28 0:00:00,1849,33.37436248,-117.5546716,"<img src=""./data/SDGE_NODE_LMP_Plots/JAPMESA_6_N001/SDGENodeLMP.png"" width=""200"" height=""120""/>","<img src=""./data/SDGE_NODE_LMP_Plots/JAPMESA_6_N001/SDGENodeMCC.png"" width=""200"" height=""120""/>","<img src=""./data/SDGE_NODE_LMP_Plots/JAPMESA_6_N001/SDGENodeMCE.png"" width=""200"" height=""120""/>",49.63129480902777
108,JAPMESA_6_N007,AS_SP26,LOAD,JAPNSE_6_LD30,22368_JAP MESA_69.0_LD30,22M7_DB114,2022-07-28 0:00:00,1848,33.37432653,-117.5548847,"<img src=""./data/SDGE_NODE_LMP_Plots/JAPMESA_6_N007/SDGENodeLMP.png"" width=""200"" height=""120""/>","<img src=""./data/SDGE_NODE_LMP_Plots/JAPMESA_6_N007/SDGENodeMCC.png"" width=""200"" height=""120""/>","<img src=""./data/SDGE_NODE_LMP_Plots/JAPMESA_6_N007/SDGENodeMCE.png"" width=""200"" height=""120""/>",50.246168420138844
109,KEARNEY_7_N001,AS_SP26,LOAD,KEARNY_7_LD1,22377_KEARNEY _12.5_LD1,22M7_DB114,2022-07-28 0:00:00,1901,32.8330923,-117.134238,"<img src=""./data/SDGE_NODE_LMP_Plots/KEARNEY_7_N001/SDGENodeLMP.png"" width=""200"" height=""120""/>","<img src=""./data/SDGE_NODE_LMP_Plots/KEARNEY_7_N001/SDGENodeMCC.png"" width=""200"" height=""120""/>","<img src=""./data/SDGE_NODE_LMP_Plots/KEARNEY_7_N001/SDGENodeMCE.png"" width=""200"" height=""120""/>",65.23776564236113
110,KEARNEY_7_N003,AS_SP26,LOAD,KEARNY_7_LD2,22377_KEARNEY _12.5_LD2,22M7_DB114,2022-07-28 0:00:00,1902,32.83307827,-117.1337435,"<img src=""./data/SDGE_NODE_LMP_Plots/KEARNEY_7_N003/SDGENodeLMP.png"" width=""200"" height=""120""/>","<img src=""./data/SDGE_NODE_LMP_Plots/KEARNEY_7_N003/SDGENodeMCC.png"" width=""200"" height=""120""/>","<img src=""./data/SDGE_NODE_LMP_Plots/KEARNEY_7_N003/SDGENodeMCE.png"" width=""200"" height=""120""/>",58.273310850694465
111,KETTNER_6_N001,AS_SP26,LOAD,KETTNR_6_LD31,22380_KETTNER _69.0_LD31,22M7_DB114,2022-07-28 0:00:00,1934,32.733236,-117.173864,"<img src=""./data/SDGE_NODE_LMP_Plots/KETTNER_6_N001/SDGENodeLMP.png"" width=""200"" height=""120""/>","<img src=""./data/SDGE_NODE_LMP_Plots/KETTNER_6_N001/SDGENodeMCC.png"" width=""200"" height=""120""/>","<img src=""./data/SDGE_NODE_LMP_Plots/KETTNER_6_N001/SDGENodeMCE.png"" width=""200"" height=""120""/>",58.64233555555557
112,KUMEYAAY_7_N001,AS_SP15,GEN,CRSTWD_6_KUMYAY,22904_KUMEYAAY_34.5_GUKY,22M7_DB114,2022-07-28 0:00:00,863,32.69901509,-116.3539488,"<img src=""./data/SDGE_NODE_LMP_Plots/KUMEYAAY_7_N001/SDGENodeLMP.png"" width=""200"" height=""120""/>","<img src=""./data/SDGE_NODE_LMP_Plots/KUMEYAAY_7_N001/SDGENodeMCC.png"" width=""200"" height=""120""/>","<img src=""./data/SDGE_NODE_LMP_Plots/KUMEYAAY_7_N001/SDGENodeMCE.png"" width=""200"" height=""120""/>",105.43465605902776
113,KYOCERA_6_N001,AS_SP26,LOAD,KYCORA_6_LD30,22384_KYOCERA _69.0_LD30,22M7_DB114,2022-07-28 0:00:00,1984,32.81979613,-117.1403579,"<img src=""./data/SDGE_NODE_LMP_Plots/KYOCERA_6_N001/SDGENodeLMP.png"" width=""200"" height=""120""/>","<img src=""./data/SDGE_NODE_LMP_Plots/KYOCERA_6_N001/SDGENodeMCC.png"" width=""200"" height=""120""/>","<img src=""./data/SDGE_NODE_LMP_Plots/KYOCERA_6_N001/SDGENodeMCE.png"" width=""200"" height=""120""/>",61.968449756944516
114,LAJOLLA_6_N001,AS_SP15,LOAD,LJOLLA_6_LD31,22392_LA JOLLA_69.0_LD31,22M7_DB114,2022-07-28 0:00:00,2145,32.84013291,-117.2752118,"<img src=""./data/SDGE_NODE_LMP_Plots/LAJOLLA_6_N001/SDGENodeLMP.png"" width=""200"" height=""120""/>","<img src=""./data/SDGE_NODE_LMP_Plots/LAJOLLA_6_N001/SDGENodeMCC.png"" width=""200"" height=""120""/>","<img src=""./data/SDGE_NODE_LMP_Plots/LAJOLLA_6_N001/SDGENodeMCE.png"" width=""200"" height=""120""/>",38.1179963888889
