,TOME_1_VEFGTGNODE,SPILLS_6_ELVADOHYDROGNODE,PERSON_1_RIOBRAVOGNODE,REEVES_1_REEVES3GNODE,ARRIBA_1_SANMIGUEL2PVGNODE,ARROYO_1_ARROYOSOLARGNODE,ELBUTTE_1_ELBUTTEHYDROGNODE,TAIBANM_3_LONEMESAWFGNODE,JARALES_1_RIOCOMMPVGNODE,HONDALE_1_DEMINGPVGNODE,S_COORS_1_SOUTHVALLEPVGNODE,SANJUAN_3_SANJUAN1GNODE,LUNA_3_LEFGNODE,FC_3_PNM_FCST4GNODE,LIGHTDOC_1_LIGHTNINGDGEOGNODE,LOSTHORZ_1_FACEBOOK3PVGNODE,LORDBURG_1_GEN1GTGNODE,ALAMOGCP_1_ALAMOPVGNODE,ARRIBAT_1_LASVEGASPVGNODE,TA3_7_CGTGGNODE,LOSMORRO_1_LOSLUNASPVGNODE,ALAMOGCP_1_OTEROPVGNODE,COYTEJCT_6_ABIQUIUHYDROGNODE,AFTON_3_AFTONCTGNODE,PYGS_1_PYRAMID A3GNODE,BRITTON_1_BRITTONPVGNODE,CLINESCO_3_ELCABOWF2GNODE,REEVES_1_REEVES2GNODE,PYGS_1_PYRAMID A2GNODE,LOSTHORZ_1_SANTOLINAPVGNODE,BELEN_1_LALUZGNODE,LAJOYA_3_LJOYA2GNODE,FC_5_PNM_FCST5GNODE,COLLEGE_1_VISTAPVGNODE,WILLARD_1_HIGHLONEWFGNODE,LONEMESA_7_CASAMESAWFGNODE,STATEPEN_1_SANTAFEPVGNODE,GUADALUP_3_ARAGONNEWFGNODE,HURLEY_LNODERLEY,LONEMESA_7_CASAMEBATTGNODE,AFTON_3_AFTONSTGNODE,LOSTHORZ_1_FACEBOOK2PVGNODE,TOME_1_RIODELOROPVGNODE,LORDBURG_1_GEN2GTGNODE,PYGS_1_PYRAMID A4GNODE,SANJUAN_3_SANJUAN4GNODE,PYGS_1_PYRAMID A1GNODE,REEVES_1_REEVESPVGNODE,MARQUEZ_1_CIBOLAPVGNODE,CIBOLA_1_ROUTE66GNODE,REEVES_1_REEVES1GNODE,ELCERRO_1_MEADOWLAKEPVGNODE,LAJOYA_3_LJOYA1GNODE,COLLEGE_1_MANZANOPVGNODE,PDTYRONE_LNODERONE,ARRIBA_1_SANMIGUEL1PVGNODE,SPRV_3_COAL_SPV3GNODE,CLINESCO_3_ELCABOWF1GNODE,MD1_LNODEMINE,REDMESA_1_REDMESAWFGNODE,CMFS_1_SOLA_CIMGNODE,RIOPUERC_3_ENCINOPVGNODE,PROGRESS_1_SANDOVALPVGNODE,ARROYO_1_ARROYOBATTERYGNODE,SCENIC_1_RIORANCHOPVGNODE,ALLN_1_ALLN SOLARGNODE,LOSMORRO_1_FACEBOOK1PVGNODE,IVANHOE_LNODENHOE,STUDIO_1_PROSPERITYGNODE
2022-09-01T09:30:00-00:00,89.55208,100.51896,88.16345,87.26041,86.02567,84.92995,91.05383,81.83747,89.67606,89.75627,87.50747,84.76604,89.61144,84.91292,90.19751,87.22633,90.53828,91.52533,86.01715,86.91199,89.90137,91.52533,90.26181,89.06798,90.55531,89.71395,83.63503,87.39672,90.55531,87.22633,89.6931,84.22286,85.34947,89.35614,89.79914,81.83747,86.23311,83.55836,93.57759,81.83747,89.4343,87.22633,89.55208,90.53828,90.55531,84.76604,90.55531,87.26041,86.55331,87.1667,87.39672,89.06649,84.22286,89.35614,93.74151,86.02567,87.24604,83.62651,95.18126,86.5022,82.22311,85.95697,86.42934,84.92995,86.80889,90.27771,89.90137,94.81493,88.02714
2022-09-01T09:45:00-00:00,88.61208,98.99748,87.30179,86.41077,85.1024,84.11205,90.00795,80.96735,88.71352,88.84189,86.65088,83.95308,88.71849,84.09514,89.24539,86.36346,89.6258,90.56021,85.0855,86.05799,88.94177,90.56021,89.25062,88.19159,89.64271,88.70167,82.70877,86.53758,89.64271,86.36346,88.72198,83.30051,84.52112,88.4261,88.79806,80.96735,85.34511,82.6496,92.63245,80.96735,88.54664,86.36346,88.61208,89.6258,89.64271,83.95308,89.64271,86.41077,85.78862,86.36346,86.53758,88.15559,83.30051,88.4261,92.77956,85.1024,86.39657,82.69186,94.19129,85.77171,81.33624,85.05884,85.55759,84.11205,85.95429,89.32436,88.94177,93.83625,87.16654
2022-09-01T10:00:00-00:00,88.60846,98.7898,86.80307,85.83269,84.64481,83.62029,89.79898,80.15704,88.7361,88.26158,86.12233,83.46646,88.14388,83.61178,88.52746,85.89402,89.03802,89.92728,84.6363,85.6267,88.91479,89.92728,88.93612,87.62305,89.05504,89.15979,82.08863,85.97734,89.05504,85.89402,88.77014,82.68427,84.00884,88.38722,89.34025,80.15704,84.82616,81.95248,91.96452,80.15704,87.98044,85.89402,88.60846,89.03802,89.05504,83.46646,89.05504,85.83269,85.20477,85.83445,85.97734,88.12343,82.68427,88.38722,92.12653,84.64481,85.86518,82.07161,93.41993,85.17073,81.01546,84.51376,85.0158,83.62029,85.39021,88.88208,88.91479,93.1388,86.66692
2022-09-01T10:15:00-00:00,87.66876,97.53802,85.89079,84.94007,83.60147,82.78137,88.86951,79.4603,87.7933,87.38476,85.22657,82.62351,87.27803,82.76477,87.61855,85.01191,88.15823,88.98586,83.59316,84.70218,87.96766,88.98586,87.94012,86.74955,88.17483,88.17812,81.24538,85.08122,88.17483,85.01191,87.82651,81.84317,83.19204,87.45289,88.37449,79.4603,83.92162,81.17065,91.00593,79.4603,87.10656,85.01191,87.66876,88.15823,88.17483,82.62351,88.17483,84.94007,84.33939,84.95379,85.08122,87.18721,81.84317,87.45289,91.16789,83.60147,85.08323,81.23707,92.4299,84.29787,79.91331,83.64485,84.13471,82.78137,84.51254,87.98244,87.96766,92.15171,85.75794
2022-09-01T10:30:00-00:00,85.4474,95.2425,83.69266,82.73874,81.60279,80.56501,86.53749,77.36858,85.57098,85.00705,83.0336,80.42612,84.89,80.54853,85.2249,82.79469,85.76038,86.64055,81.59455,82.52035,85.73574,86.64055,85.71911,84.39035,85.77686,85.99991,79.06565,82.88703,85.77686,82.79469,85.60393,79.65881,80.92477,85.22497,86.17237,77.36858,81.75536,79.0327,88.58073,77.36858,84.73635,82.79469,85.4474,85.76038,85.77686,80.42612,85.77686,82.73874,82.1274,82.72879,82.88703,84.96959,79.65881,85.22497,88.7514,81.60279,82.68752,79.04918,89.99654,82.09444,78.18904,81.45474,81.94079,80.56501,82.32511,85.62608,85.73574,89.73292,83.56085
2022-09-01T10:45:00-00:00,83.35434,92.87712,81.60919,80.67574,79.63303,78.46514,84.23036,75.42127,83.47888,82.6622,80.9436,78.33757,82.55668,78.4489,82.86561,80.70009,83.3851,84.33103,79.62491,80.41806,83.63031,84.33103,83.52637,82.08542,83.40133,83.93064,76.99597,80.81373,83.40133,80.70009,83.51134,77.58039,78.76667,83.13518,84.12545,75.42127,79.64392,77.00408,86.20399,75.42127,82.43445,80.70009,83.35434,83.3851,83.40133,78.33757,83.40133,80.67574,80.06696,80.66762,80.81373,82.88355,77.58039,83.13518,86.35288,79.63303,80.36837,76.98785,87.61101,80.04261,76.45119,79.36612,79.86125,78.46514,80.23742,83.30296,83.63031,87.33503,81.4712
2022-09-01T11:00:00-00:00,89.55838,105.81259,87.84929,86.88792,86.61197,84.65363,90.37732,81.24434,89.683,88.89967,87.16387,84.51121,88.80175,84.63583,89.14001,86.89682,89.6919,90.75119,86.59417,86.73659,89.95005,90.75119,92.73623,88.31217,89.70081,89.74531,82.98014,87.05705,89.70081,86.89682,89.70081,83.62106,84.94738,89.32694,89.94115,81.24434,86.11349,82.98905,92.77184,81.24434,88.68603,86.89682,89.55838,89.6919,89.70081,84.52011,89.70081,86.88792,86.27371,86.93243,87.05705,89.00649,83.62106,89.32694,92.93206,86.61197,86.55856,82.97124,94.32961,86.22921,83.40742,85.55269,86.09568,84.65363,86.44284,89.48717,89.95005,94.00915,87.70686
2022-09-01T11:15:00-00:00,89.80162,105.60022,88.06404,87.10169,86.87892,84.83838,90.46101,81.40778,89.92637,88.78581,87.37792,84.70472,88.71452,84.82947,89.08877,87.10169,89.64123,90.69269,86.8611,86.95912,90.2026,90.69269,92.81342,88.24226,89.65014,89.97092,83.181,87.26208,89.65014,87.10169,89.94419,83.81366,85.13244,89.56994,90.14914,81.40778,86.32646,83.181,92.67976,81.40778,88.6165,87.10169,89.80162,89.64123,89.65014,84.70472,89.65014,87.10169,86.46903,87.13733,87.26208,89.24025,83.81366,89.56994,92.85798,86.87892,86.71853,83.16318,94.23913,86.42448,83.61762,85.74727,86.29973,84.83838,86.64725,89.46302,90.2026,93.92726,87.92147
2022-09-01T11:30:00-00:00,88.88695,104.81242,87.19614,86.24008,86.11615,84.05354,89.4535,80.60996,89.01088,87.66532,86.51451,83.9119,87.62991,84.03584,88.00171,86.24894,88.55056,89.604,86.09845,86.1073,89.30301,89.604,91.99414,87.16959,88.55941,89.01974,82.37158,86.40828,88.55941,86.24894,89.02859,82.9824,84.33682,88.66564,89.15252,80.60996,85.47878,82.34503,91.56038,80.60996,87.54139,86.24894,88.88695,88.55056,88.55941,83.92075,88.55941,86.24008,85.62927,86.2932,86.40828,88.3381,82.9824,88.66564,91.74628,86.11615,85.85058,82.35388,93.10955,85.59386,82.93814,84.90337,85.45222,84.05354,85.78861,88.40007,89.30301,92.79971,87.0545
2022-09-01T11:45:00-00:00,92.2168,92.2168,92.2168,92.2168,92.2168,92.2168,92.2168,92.2168,92.2168,92.2168,92.2168,92.2168,92.2168,92.2168,92.2168,92.2168,92.2168,92.2168,92.2168,92.2168,92.2168,92.2168,92.2168,92.2168,92.2168,92.2168,92.2168,92.2168,92.2168,92.2168,92.2168,92.2168,92.2168,92.2168,92.2168,92.2168,92.2168,92.2168,92.2168,92.2168,92.2168,92.2168,92.2168,92.2168,92.2168,92.2168,92.2168,92.2168,92.2168,92.2168,92.2168,92.2168,92.2168,92.2168,92.2168,92.2168,92.2168,92.2168,92.2168,92.2168,92.2168,92.2168,92.2168,92.2168,92.2168,92.2168,92.2168,92.2168,92.2168
