,REEVES_1_REEVES3GNODE,TA3_7_CGTGGNODE,STUDIO_1_PROSPERITYGNODE,CLINESCO_3_ELCABOWF1GNODE,SANJUAN_3_SANJUAN4GNODE,CMFS_1_SOLA_CIMGNODE,FC_3_PNM_FCST4GNODE,ARROYO_1_ARROYOSOLARGNODE,LOSMORRO_1_FACEBOOK1PVGNODE,PDTYRONE_LNODERONE,MARQUEZ_1_CIBOLAPVGNODE,GUADALUP_3_ARAGONNEWFGNODE,LONEMESA_7_CASAMEBATTGNODE,LOSTHORZ_1_SANTOLINAPVGNODE,ALAMOGCP_1_OTEROPVGNODE,AFTON_3_AFTONSTGNODE,COLLEGE_1_VISTAPVGNODE,SANJUAN_3_SANJUAN1GNODE,ELBUTTE_1_ELBUTTEHYDROGNODE,PROGRESS_1_SANDOVALPVGNODE,LUNA_3_LEFGNODE,LOSMORRO_1_LOSLUNASPVGNODE,LORDBURG_1_GEN2GTGNODE,ARRIBA_1_SANMIGUEL1PVGNODE,STATEPEN_1_SANTAFEPVGNODE,CLINESCO_3_ELCABOWF2GNODE,PYGS_1_PYRAMID A3GNODE,TAIBANM_3_LONEMESAWFGNODE,PERSON_1_RIOBRAVOGNODE,ALAMOGCP_1_ALAMOPVGNODE,REDMESA_1_REDMESAWFGNODE,WILLARD_1_HIGHLONEWFGNODE,LAJOYA_3_LJOYA1GNODE,TOME_1_RIODELOROPVGNODE,LOSTHORZ_1_FACEBOOK2PVGNODE,IVANHOE_LNODENHOE,PYGS_1_PYRAMID A1GNODE,SCENIC_1_RIORANCHOPVGNODE,COLLEGE_1_MANZANOPVGNODE,BRITTON_1_BRITTONPVGNODE,PYGS_1_PYRAMID A4GNODE,SPRV_3_COAL_SPV3GNODE,REEVES_1_REEVES1GNODE,COYTEJCT_6_ABIQUIUHYDROGNODE,ALLN_1_ALLN SOLARGNODE,PYGS_1_PYRAMID A2GNODE,HURLEY_LNODERLEY,LORDBURG_1_GEN1GTGNODE,CIBOLA_1_ROUTE66GNODE,REEVES_1_REEVES2GNODE,SPILLS_6_ELVADOHYDROGNODE,ARRIBA_1_SANMIGUEL2PVGNODE,BELEN_1_LALUZGNODE,JARALES_1_RIOCOMMPVGNODE,LIGHTDOC_1_LIGHTNINGDGEOGNODE,FC_5_PNM_FCST5GNODE,LOSTHORZ_1_FACEBOOK3PVGNODE,MD1_LNODEMINE,LAJOYA_3_LJOYA2GNODE,TOME_1_VEFGTGNODE,LONEMESA_7_CASAMESAWFGNODE,HONDALE_1_DEMINGPVGNODE,AFTON_3_AFTONCTGNODE,S_COORS_1_SOUTHVALLEPVGNODE,REEVES_1_REEVESPVGNODE,ARRIBAT_1_LASVEGASPVGNODE,ELCERRO_1_MEADOWLAKEPVGNODE,RIOPUERC_3_ENCINOPVGNODE,ARROYO_1_ARROYOBATTERYGNODE
2022-09-01T09:30:00-00:00,87.26041,86.91199,88.02714,83.62651,84.76604,82.22311,84.91292,84.92995,89.90137,93.74151,86.55331,83.55836,81.83747,87.22633,91.52533,89.4343,89.35614,84.76604,91.05383,86.42934,89.61144,89.90137,90.53828,86.02567,86.23311,83.63503,90.55531,81.83747,88.16345,91.52533,86.5022,89.79914,84.22286,89.55208,87.22633,94.81493,90.55531,86.80889,89.35614,89.71395,90.55531,87.24604,87.39672,90.26181,90.27771,90.55531,93.57759,90.53828,87.1667,87.39672,100.51896,86.02567,89.6931,89.67606,90.19751,85.34947,87.22633,95.18126,84.22286,89.55208,81.83747,89.75627,89.06798,87.50747,87.26041,86.01715,89.06649,85.95697,84.92995
2022-09-01T09:45:00-00:00,86.41077,86.05799,87.16654,82.69186,83.95308,81.33624,84.09514,84.11205,88.94177,92.77956,85.78862,82.6496,80.96735,86.36346,90.56021,88.54664,88.4261,83.95308,90.00795,85.55759,88.71849,88.94177,89.6258,85.1024,85.34511,82.70877,89.64271,80.96735,87.30179,90.56021,85.77171,88.79806,83.30051,88.61208,86.36346,93.83625,89.64271,85.95429,88.4261,88.70167,89.64271,86.39657,86.53758,89.25062,89.32436,89.64271,92.63245,89.6258,86.36346,86.53758,98.99748,85.1024,88.72198,88.71352,89.24539,84.52112,86.36346,94.19129,83.30051,88.61208,80.96735,88.84189,88.19159,86.65088,86.41077,85.0855,88.15559,85.05884,84.11205
2022-09-01T10:00:00-00:00,85.83269,85.6267,86.66692,82.07161,83.46646,81.01546,83.61178,83.62029,88.91479,92.12653,85.20477,81.95248,80.15704,85.89402,89.92728,87.98044,88.38722,83.46646,89.79898,85.0158,88.14388,88.91479,89.03802,84.64481,84.82616,82.08863,89.05504,80.15704,86.80307,89.92728,85.17073,89.34025,82.68427,88.60846,85.89402,93.1388,89.05504,85.39021,88.38722,89.15979,89.05504,85.86518,85.97734,88.93612,88.88208,89.05504,91.96452,89.03802,85.83445,85.97734,98.7898,84.64481,88.77014,88.7361,88.52746,84.00884,85.89402,93.41993,82.68427,88.60846,80.15704,88.26158,87.62305,86.12233,85.83269,84.6363,88.12343,84.51376,83.62029
2022-09-01T10:15:00-00:00,84.94007,84.70218,85.75794,81.23707,82.62351,79.91331,82.76477,82.78137,87.96766,91.16789,84.33939,81.17065,79.4603,85.01191,88.98586,87.10656,87.45289,82.62351,88.86951,84.13471,87.27803,87.96766,88.15823,83.60147,83.92162,81.24538,88.17483,79.4603,85.89079,88.98586,84.29787,88.37449,81.84317,87.66876,85.01191,92.15171,88.17483,84.51254,87.45289,88.17812,88.17483,85.08323,85.08122,87.94012,87.98244,88.17483,91.00593,88.15823,84.95379,85.08122,97.53802,83.60147,87.82651,87.7933,87.61855,83.19204,85.01191,92.4299,81.84317,87.66876,79.4603,87.38476,86.74955,85.22657,84.94007,83.59316,87.18721,83.64485,82.78137
2022-09-01T10:30:00-00:00,82.73874,82.52035,83.56085,79.04918,80.42612,78.18904,80.54853,80.56501,85.73574,88.7514,82.1274,79.0327,77.36858,82.79469,86.64055,84.73635,85.22497,80.42612,86.53749,81.94079,84.89,85.73574,85.76038,81.60279,81.75536,79.06565,85.77686,77.36858,83.69266,86.64055,82.09444,86.17237,79.65881,85.4474,82.79469,89.73292,85.77686,82.32511,85.22497,85.99991,85.77686,82.68752,82.88703,85.71911,85.62608,85.77686,88.58073,85.76038,82.72879,82.88703,95.2425,81.60279,85.60393,85.57098,85.2249,80.92477,82.79469,89.99654,79.65881,85.4474,77.36858,85.00705,84.39035,83.0336,82.73874,81.59455,84.96959,81.45474,80.56501
2022-09-01T10:45:00-00:00,80.67574,80.41806,81.4712,76.98785,78.33757,76.45119,78.4489,78.46514,83.63031,86.35288,80.06696,77.00408,75.42127,80.70009,84.33103,82.43445,83.13518,78.33757,84.23036,79.86125,82.55668,83.63031,83.3851,79.63303,79.64392,76.99597,83.40133,75.42127,81.60919,84.33103,80.04261,84.12545,77.58039,83.35434,80.70009,87.33503,83.40133,80.23742,83.13518,83.93064,83.40133,80.36837,80.81373,83.52637,83.30296,83.40133,86.20399,83.3851,80.66762,80.81373,92.87712,79.63303,83.51134,83.47888,82.86561,78.76667,80.70009,87.61101,77.58039,83.35434,75.42127,82.6622,82.08542,80.9436,80.67574,79.62491,82.88355,79.36612,78.46514
2022-09-01T11:00:00-00:00,86.88792,86.73659,87.70686,82.97124,84.52011,83.40742,84.63583,84.65363,89.95005,92.93206,86.27371,82.98905,81.24434,86.89682,90.75119,88.68603,89.32694,84.51121,90.37732,86.09568,88.80175,89.95005,89.6919,86.61197,86.11349,82.98014,89.70081,81.24434,87.84929,90.75119,86.22921,89.94115,83.62106,89.55838,86.89682,94.00915,89.70081,86.44284,89.32694,89.74531,89.70081,86.55856,87.05705,92.73623,89.48717,89.70081,92.77184,89.6919,86.93243,87.05705,105.81259,86.61197,89.70081,89.683,89.14001,84.94738,86.89682,94.32961,83.62106,89.55838,81.24434,88.89967,88.31217,87.16387,86.88792,86.59417,89.00649,85.55269,84.65363
2022-09-01T11:15:00-00:00,87.10169,86.95912,87.92147,83.16318,84.70472,83.61762,84.82947,84.83838,90.2026,92.85798,86.46903,83.181,81.40778,87.10169,90.69269,88.6165,89.56994,84.70472,90.46101,86.29973,88.71452,90.2026,89.64123,86.87892,86.32646,83.181,89.65014,81.40778,88.06404,90.69269,86.42448,90.14914,83.81366,89.80162,87.10169,93.92726,89.65014,86.64725,89.56994,89.97092,89.65014,86.71853,87.26208,92.81342,89.46302,89.65014,92.67976,89.64123,87.13733,87.26208,105.60022,86.87892,89.94419,89.92637,89.08877,85.13244,87.10169,94.23913,83.81366,89.80162,81.40778,88.78581,88.24226,87.37792,87.10169,86.8611,89.24025,85.74727,84.83838
2022-09-01T11:30:00-00:00,86.24008,86.1073,87.0545,82.35388,83.92075,82.93814,84.03584,84.05354,89.30301,91.74628,85.62927,82.34503,80.60996,86.24894,89.604,87.54139,88.66564,83.9119,89.4535,85.45222,87.62991,89.30301,88.55056,86.11615,85.47878,82.37158,88.55941,80.60996,87.19614,89.604,85.59386,89.15252,82.9824,88.88695,86.24894,92.79971,88.55941,85.78861,88.66564,89.01974,88.55941,85.85058,86.40828,91.99414,88.40007,88.55941,91.56038,88.55056,86.2932,86.40828,104.81242,86.11615,89.02859,89.01088,88.00171,84.33682,86.24894,93.10955,82.9824,88.88695,80.60996,87.66532,87.16959,86.51451,86.24008,86.09845,88.3381,84.90337,84.05354
2022-09-01T11:45:00-00:00,92.2168,92.2168,92.2168,92.2168,92.2168,92.2168,92.2168,92.2168,92.2168,92.2168,92.2168,92.2168,92.2168,92.2168,92.2168,92.2168,92.2168,92.2168,92.2168,92.2168,92.2168,92.2168,92.2168,92.2168,92.2168,92.2168,92.2168,92.2168,92.2168,92.2168,92.2168,92.2168,92.2168,92.2168,92.2168,92.2168,92.2168,92.2168,92.2168,92.2168,92.2168,92.2168,92.2168,92.2168,92.2168,92.2168,92.2168,92.2168,92.2168,92.2168,92.2168,92.2168,92.2168,92.2168,92.2168,92.2168,92.2168,92.2168,92.2168,92.2168,92.2168,92.2168,92.2168,92.2168,92.2168,92.2168,92.2168,92.2168,92.2168
