PNODE_ID,AS_ID,RES_TYPE,RES_ID,BUS_ID,FNMVERSION,RELEASE_DATE,GROUP,Lat,Long
SANYSDRO_6_N004,AS_SP15,LOAD,SYDRO_6_LD32,22740_SANYSDRO_69.0_LD32,22M7_DB114,2022-07-28 0:00:00,4838,32.562128,-117.026591
SANYSDRO_6_N004,AS_SP26,LOAD,SYDRO_6_LD32,22740_SANYSDRO_69.0_LD32,22M7_DB114,2022-07-28 0:00:00,4838,32.562128,-117.026591
SANYSDRO_6_N013,AS_SP26,GEN,SYDRO_6_FCELL,22740_SANYSDRO_69.0_GUM1,22M7_DB114,2022-07-28 0:00:00,4836,32.545077,-117.069661
SANYSDRO_6_N013,AS_SP15,GEN,SYDRO_6_FCELL,22740_SANYSDRO_69.0_GUM1,22M7_DB114,2022-07-28 0:00:00,4836,32.545077,-117.069661
SCRIPPS_6_N001,AS_SP26,LOAD,SCRIPS_6_LD31,22756_SCRIPPS _69.0_LD31,22M7_DB114,2022-07-28 0:00:00,4411,32.91102907,-117.1127976
SCRIPPS_6_N001,AS_SP15,LOAD,SCRIPS_6_LD31,22756_SCRIPPS _69.0_LD31,22M7_DB114,2022-07-28 0:00:00,4411,32.91102907,-117.1127976
SCRIPPS_6_N008,AS_SP15,LOAD,SCRIPS_6_LD30,22756_SCRIPPS _69.0_LD30,22M7_DB114,2022-07-28 0:00:00,4410,32.91127459,-117.1125828
SCRIPPS_6_N008,AS_SP26,LOAD,SCRIPS_6_LD30,22756_SCRIPPS _69.0_LD30,22M7_DB114,2022-07-28 0:00:00,4410,32.91127459,-117.1125828
SCRIPPS_6_N013,AS_SP26,LOAD,SCRIPS_6_LD32,22756_SCRIPPS _69.0_LD32,22M7_DB114,2022-07-28 0:00:00,4412,32.9110943,-117.112352
SCRIPPS_6_N013,AS_SP15,LOAD,SCRIPS_6_LD32,22756_SCRIPPS _69.0_LD32,22M7_DB114,2022-07-28 0:00:00,4412,32.9110943,-117.112352
SHADOWR_1_N001,AS_SP15,LOAD,SHRDGE_1_LD42,22760_SHADOWR _138_LD42,22M7_DB114,2022-07-28 0:00:00,4537,33.14137852,-117.2385979
SHADOWR_1_N001,AS_SP26,LOAD,SHRDGE_1_LD42,22760_SHADOWR _138_LD42,22M7_DB114,2022-07-28 0:00:00,4537,33.14137852,-117.2385979
SHADOWR_1_N006,AS_SP26,LOAD,SHRDGE_1_LD41,22760_SHADOWR _138_LD41,22M7_DB114,2022-07-28 0:00:00,4536,33.14140249,-117.2391186
SHADOWR_1_N006,AS_SP15,LOAD,SHRDGE_1_LD41,22760_SHADOWR _138_LD41,22M7_DB114,2022-07-28 0:00:00,4536,33.14140249,-117.2391186
